phrase,class
one,5
two,5
three,5
four,5
five,5
six,5
seven,5
eight,5
nine,5
ten,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
one,5
two,5
three,5
four,5
five,5
six,5
seven,5
eight,5
nine,5
ten,5
one,5
two,5
three,5
four,5
five,5
six,5
seven,5
eight,5
nine,5
ten,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
one,5
two,5
three,5
four,5
five,5
six,5
seven,5
eight,5
nine,5
ten,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
universe room,5
flooded forest,5
antarctic base,5
geological wall,5
sustainable building,5
universe room,5
flooded forest,5
antarctic base,5
geological wall,5
sustainable building,5
universe room,5
flooded forest,5
antarctic base,5
geological wall,5
sustainable building,5
universe room,5
flooded forest,5
antarctic base,5
geological wall,5
sustainable building,5
universe room,5
flooded forest,5
antarctic base,5
geological wall,5
sustainable building,5
the universe room,5
the flooded forest,5
the antarctic base,5
the geological wall,5
the sustainable building,5
the universe room,5
the flooded forest,5
the antarctic base,5
the geological wall,5
the sustainable building,5
for the universe room,5
for the flooded forest,5
for the antarctic base,5
for the geological wall,5
for the sustainable building,5
to the universe room,5
to the flooded forest,5
to the antarctic base,5
to the geological wall,5
to the sustainable building,5
universe,5
space,5
cosmos,5
big bang,5
evolution,5
science,5
life,5
physics,5
earth,5
sun,5
moon,5
mars,5
light,5
gravity,5
matter,5
planet,5
star,5
technology,5
astronomy,5
exploration,5
forest,5
jungle,5
amazon,5
plant,5
water,5
biodiversity,5
brazil,5
south america,5
animal,5
climate,5
climate change,5
river,5
evolution,5
nature,5
artic,5
south pole,5
north pole,5
photos,5
ecology,5
environment,5
photography,5
exploration,5
climate change,5
biodiversity,5
climate,5
nature,5
nature,5
volcano,5
rock,5
landscape,5
earthquake,5
evolution,5
earth,5
geology,5
earth,5
sustainability,5
education,5
efficiency,5
architecture,5
climate change,5
urban planning,5
design,5
i like universe,5
i like space,5
i like cosmos,5
i like big bang,5
i like evolution,5
i like science,5
i like life,5
i like physics,5
i like earth,5
i like sun,5
i like moon,5
i like mars,5
i like light,5
i like gravity,5
i like matter,5
i like planet,5
i like star,5
i like technology,5
i like astronomy,5
i like exploration,5
i like forest,5
i like jungle,5
i like amazon,5
i like plant,5
i like water,5
i like biodiversity,5
i like brazil,5
i like south america,5
i like animal,5
i like climate,5
i like climate change,5
i like river,5
i like evolution,5
i like nature,5
i like artic,5
i like south pole,5
i like north pole,5
i like photos,5
i like ecology,5
i like environment,5
i like photography,5
i like exploration,5
i like climate change,5
i like biodiversity,5
i like climate,5
i like nature,5
i like nature,5
i like volcano,5
i like rock,5
i like landscape,5
i like earthquake,5
i like evolution,5
i like earth,5
i like geology,5
i like earth,5
i like sustainability,5
i like education,5
i like efficiency,5
i like architecture,5
i like climate change,5
i like urban planning,5
i like design,5
i like universe,5
i like space,5
i like cosmos,5
i like big bang,5
i like evolution,5
i like science,5
i like life,5
i like physics,5
i like earth,5
i like sun,5
i like moon,5
i like mars,5
i like light,5
i like gravity,5
i like matter,5
i like planet,5
i like star,5
i like technology,5
i like astronomy,5
i like exploration,5
i like forest,5
i like jungle,5
i like amazon,5
i like plant,5
i like water,5
i like biodiversity,5
i like brazil,5
i like south america,5
i like animal,5
i like climate,5
i like climate change,5
i like river,5
i like evolution,5
i like nature,5
i like artic,5
i like south pole,5
i like north pole,5
i like photos,5
i like ecology,5
i like environment,5
i like photography,5
i like exploration,5
i like climate change,5
i like biodiversity,5
i like climate,5
i like nature,5
i like nature,5
i like volcano,5
i like rock,5
i like landscape,5
i like earthquake,5
i like evolution,5
i like earth,5
i like geology,5
i like earth,5
i like sustainability,5
i like education,5
i like efficiency,5
i like architecture,5
i like climate change,5
i like urban planning,5
i like design,5
i like universe,5
i like space,5
i like cosmos,5
i like big bang,5
i like evolution,5
i like science,5
i like life,5
i like physics,5
i like earth,5
i like sun,5
i like moon,5
i like mars,5
i like light,5
i like gravity,5
i like matter,5
i like planet,5
i like star,5
i like technology,5
i like astronomy,5
i like exploration,5
i like forest,5
i like jungle,5
i like amazon,5
i like plant,5
i like water,5
i like biodiversity,5
i like brazil,5
i like south america,5
i like animal,5
i like climate,5
i like climate change,5
i like river,5
i like evolution,5
i like nature,5
i like artic,5
i like south pole,5
i like north pole,5
i like photos,5
i like ecology,5
i like environment,5
i like photography,5
i like exploration,5
i like climate change,5
i like biodiversity,5
i like climate,5
i like nature,5
i like nature,5
i like volcano,5
i like rock,5
i like landscape,5
i like earthquake,5
i like evolution,5
i like earth,5
i like geology,5
i like earth,5
i like sustainability,5
i like education,5
i like efficiency,5
i like architecture,5
i like climate change,5
i like urban planning,5
i like design,5
i'm interested in universe,5
i'm interested in space,5
i'm interested in cosmos,5
i'm interested in big bang,5
i'm interested in evolution,5
i'm interested in science,5
i'm interested in life,5
i'm interested in physics,5
i'm interested in earth,5
i'm interested in sun,5
i'm interested in moon,5
i'm interested in mars,5
i'm interested in light,5
i'm interested in gravity,5
i'm interested in matter,5
i'm interested in planet,5
i'm interested in star,5
i'm interested in technology,5
i'm interested in astronomy,5
i'm interested in exploration,5
i'm interested in forest,5
i'm interested in jungle,5
i'm interested in amazon,5
i'm interested in plant,5
i'm interested in water,5
i'm interested in biodiversity,5
i'm interested in brazil,5
i'm interested in south america,5
i'm interested in animal,5
i'm interested in climate,5
i'm interested in climate change,5
i'm interested in river,5
i'm interested in evolution,5
i'm interested in nature,5
i'm interested in artic,5
i'm interested in south pole,5
i'm interested in north pole,5
