phrase,class
tickets,0
buy tickets,0
purchase tickets,0
a ticket,0
one ticket,0
two tickets,0
three tickets,0
four tickets,0
five tickets,0
six tickets,0
a ticket please,0
one ticket please,0
two tickets please,0
three tickets please,0
four tickets please,0
five tickets please,0
six tickets please,0
can i get a ticket please,0
can i get one ticket please,0
can i get two tickets please,0
can i get three tickets please,0
can i get four tickets please,0
can i get five tickets please,0
can i get six tickets please,0
could i get a ticket,0
could i get one ticket,0
could i get two tickets,0
could i get three tickets,0
could i get four tickets,0
could i get five tickets,0
could i get six tickets,0
could i please get a ticket,0
could i please get one ticket,0
could i please get two tickets,0
could i please get three tickets,0
could i please get four tickets,0
could i please get five tickets,0
could i please get six tickets,0
i'd like a ticket,0
i'd like one ticket,0
i'd like two tickets,0
i'd like three tickets,0
i'd like four tickets,0
i'd like five tickets,0
i'd like six tickets,0
i'd like a ticket please,0
i'd like one ticket please,0
i'd like two tickets please,0
i'd like three tickets please,0
i'd like four tickets please,0
i'd like five tickets please,0
i'd like six tickets please,0
i'd like to get a ticket,0
i'd like to get one ticket,0
i'd like to get two tickets,0
i'd like to get three tickets,0
i'd like to get four tickets,0
i'd like to get five tickets,0
i'd like to get six tickets,0
i'd like to get a ticket please,0
i'd like to get one ticket please,0
i'd like to get two tickets please,0
i'd like to get three tickets please,0
i'd like to get four tickets please,0
i'd like to get five tickets please,0
i'd like to get six tickets please,0
a ticket for 29 Nov,0
a ticket for Sep 15,0
a ticket for Apr 11,0
a ticket for Apr 05,0
a ticket for next week,0
a ticket on Friday,0
a ticket for next Saturday,0
a ticket for next Friday,0
one ticket for Mar 09,0
one ticket for 10 Jun,0
one ticket for May 07,0
one ticket for 06 Feb,0
one ticket on Thursday,0
one ticket for next Friday,0
one ticket for next Sunday,0
one ticket for next weekend,0
two tickets for 18 Dec,0
two tickets for Jul 17,0
two tickets for 16 Jun,0
two tickets for Aug 06,0
two tickets for next Thursday,0
two tickets for this weekend,0
two tickets for this Tuesday,0
two tickets for today,0
three tickets for 26 Feb,0
three tickets for 22 Sep,0
three tickets for 10 Nov,0
three tickets for 14 May,0
three tickets for next Sunday,0
three tickets for next week,0
three tickets for this Thursday,0
three tickets for this weekend,0
four tickets for 21 Apr,0
four tickets for Sep 01,0
four tickets for 26 Dec,0
four tickets for Nov 04,0
four tickets for next Wednesday,0
four tickets for today,0
four tickets on Tuesday,0
four tickets for this weekend,0
five tickets for Jun 04,0
five tickets for May 15,0
five tickets for 13 Aug,0
five tickets for 24 Feb,0
five tickets for next Wednesday,0
five tickets for this Wednesday,0
five tickets on Saturday,0
five tickets for next Sunday,0
six tickets for 21 Jul,0
six tickets for Aug 09,0
six tickets for Apr 17,0
six tickets for 09 Aug,0
six tickets for this week,0
six tickets for next weekend,0
six tickets for Monday,0
six tickets for next Sunday,0
a ticket for 09 Dec please,0
a ticket for 30 Mar please,0
a ticket for 01 Sep please,0
a ticket for 04 Dec please,0
a ticket for tomorrow please,0
a ticket on Thursday please,0
a ticket for next Monday please,0
a ticket on Tuesday please,0
one ticket for 13 Nov please,0
one ticket for 26 Feb please,0
one ticket for 18 Oct please,0
one ticket for 21 Oct please,0
one ticket on Friday please,0
one ticket on Wednesday please,0
one ticket for this Thursday please,0
one ticket for next Monday please,0
two tickets for 06 Jun please,0
two tickets for 07 Oct please,0
two tickets for Apr 25 please,0
two tickets for Jun 07 please,0
two tickets on Saturday please,0
two tickets on Tuesday please,0
two tickets on Sunday please,0
two tickets for this Monday please,0
three tickets for 08 Sep please,0
three tickets for 15 Nov please,0
three tickets for 30 Nov please,0
three tickets for Mar 20 please,0
three tickets for this Thursday please,0
three tickets on Friday please,0
three tickets for Monday please,0
three tickets for next weekend please,0
four tickets for Mar 22 please,0
four tickets for 31 Oct please,0
four tickets for Mar 16 please,0
four tickets for 15 Feb please,0
four tickets for tomorrow please,0
four tickets for next Tuesday please,0
four tickets for next weekend please,0
four tickets for this Sunday please,0
five tickets for Jul 16 please,0
five tickets for Apr 22 please,0
five tickets for 31 May please,0
five tickets for Feb 27 please,0
five tickets for next month please,0
five tickets for this Thursday please,0
five tickets for this Wednesday please,0
five tickets for next Saturday please,0
six tickets for 13 Sep please,0
six tickets for 25 Oct please,0
six tickets for 08 May please,0
six tickets for Aug 09 please,0
six tickets for Monday please,0
six tickets on Wednesday please,0
six tickets for today please,0
six tickets for this Sunday please,0
a ticket for 13 Apr,0
a ticket for Feb 27,0
a ticket for Jul 29,0
a ticket for Apr 28,0
a ticket for this month,0
a ticket on Saturday,0
one ticket for 20 Jun,0
one ticket for 21 Sep,0
one ticket for 21 May,0
one ticket for Mar 28,0
one ticket for this month,0
one ticket for this Wednesday,0
one ticket for next Saturday,0
one ticket for tomorrow,0
two tickets for 07 Apr,0
two tickets for Jul 14,0
two tickets for 28 Sep,0
two tickets for 01 Apr,0
two tickets for next Sunday,0
two tickets on Saturday,0
two tickets on Friday,0
three tickets for 04 Mar,0
three tickets for 17 May,0
three tickets for 26 Mar,0
three tickets for Dec 10,0
three tickets for this Friday,0
three tickets for next Tuesday,0
three tickets for this Wednesday,0
three tickets on Sunday,0
four tickets for 16 Aug,0
four tickets for Jun 03,0
four tickets for Mar 02,0
four tickets for 20 Mar,0
four tickets for next Sunday,0
four tickets on Friday,0
four tickets for next Thursday,0
five tickets for 03 Jan,0
five tickets for Nov 25,0
five tickets for 20 Feb,0
five tickets for 20 May,0
five tickets on Sunday,0
five tickets for next Friday,0
five tickets for tomorrow,0
five tickets for this Friday,0
six tickets for Nov 13,0
six tickets for 10 Apr,0
six tickets for 18 Oct,0
six tickets for 05 Oct,0
six tickets for next Friday,0
six tickets on Friday,0
six tickets on Sunday,0
a ticket for Aug 01 please,0
a ticket for 28 Jan please,0
a ticket for Aug 11 please,0
a ticket for Oct 31 please,0
a ticket for this Tuesday please,0
a ticket for this week please,0
a ticket for next Thursday please,0
one ticket for 09 Nov please,0
one ticket for 07 Apr please,0
one ticket for Aug 12 please,0
one ticket for Oct 16 please,0
one ticket for this month please,0
one ticket for this week please,0
one ticket for next Wednesday please,0
one ticket on Tuesday please,0
two tickets for Feb 22 please,0
two tickets for Dec 25 please,0
two tickets for Jul 07 please,0
two tickets for 23 Jul please,0
two tickets for next Thursday please,0
two tickets for next month please,0
two tickets for tomorrow please,0
two tickets for this Wednesday please,0
three tickets for Aug 02 please,0
three tickets for Aug 31 please,0
three tickets for 07 May please,0
three tickets for Dec 29 please,0
three tickets for today please,0
three tickets on Thursday please,0
four tickets for Apr 24 please,0
four tickets for 22 Jun please,0
four tickets for 22 Oct please,0
four tickets on Saturday please,0
four tickets for this weekend please,0
four tickets for next Saturday please,0
four tickets for next Sunday please,0
five tickets for Jan 13 please,0
five tickets for 15 Jul please,0
five tickets for 21 Jun please,0
five tickets for 07 Sep please,0
five tickets on Wednesday please,0
five tickets for this Monday please,0
five tickets for tomorrow please,0
six tickets for 22 Feb please,0
six tickets for 24 Oct please,0
six tickets for Mar 05 please,0
six tickets for 25 Jan please,0
six tickets for next Thursday please,0
six tickets for this weekend please,0
six tickets for tomorrow please,0
a ticket for 18 Feb,0
a ticket for Dec 24,0
a ticket for 13 Feb,0
a ticket for 22 May,0
a ticket for next Tuesday,0
a ticket for this week,0
a ticket for next weekend,0
one ticket for Jul 06,0
one ticket for 13 Apr,0
one ticket for 06 Jul,0
one ticket for 17 Mar,0
one ticket for next Tuesday,0
one ticket for next Monday,0
one ticket for next Thursday,0
two tickets for Jun 26,0
two tickets for Sep 05,0
two tickets for 06 Sep,0
two tickets for Sep 15,0
two tickets for this Friday,0
two tickets on Thursday,0
two tickets for this Thursday,0
three tickets for 29 Oct,0
three tickets for Dec 08,0
three tickets for Oct 24,0
three tickets for Nov 12,0
three tickets for next Monday,0
three tickets on Saturday,0
three tickets on Tuesday,0
four tickets for Jun 16,0
four tickets for 09 Sep,0
four tickets for 23 Mar,0
four tickets for Jul 04,0
four tickets for this Sunday,0
four tickets for this month,0
four tickets for next Monday,0
five tickets for 15 Jan,0
five tickets for Aug 21,0
five tickets for 24 Jul,0
five tickets for Jul 31,0
five tickets on Tuesday,0
five tickets for this weekend,0
five tickets for next weekend,0
six tickets for 09 Apr,0
six tickets for Mar 10,0
six tickets for Mar 06,0
six tickets for Jan 17,0
six tickets for this weekend,0
six tickets on Thursday,0
a ticket for Dec 20 please,0
a ticket for Mar 22 please,0
a ticket for 23 Nov please,0
a ticket for 27 Feb please,0
a ticket for next Saturday please,0
a ticket for this Friday please,0
one ticket for May 14 please,0
one ticket for Nov 22 please,0
one ticket for 06 Dec please,0
one ticket for 10 Nov please,0
one ticket on Saturday please,0
one ticket for next month please,0
one ticket on Thursday please,0
two tickets for 08 Jun please,0
two tickets for 09 Oct please,0
two tickets for 07 Sep please,0
two tickets for Nov 04 please,0
two tickets for Monday please,0
two tickets for this Saturday please,0
three tickets for 15 Dec please,0
three tickets for Feb 12 please,0
three tickets for 15 May please,0
three tickets for Oct 26 please,0
three tickets for next Wednesday please,0
three tickets for next Tuesday please,0
three tickets for next Sunday please,0
four tickets for 15 Aug please,0
four tickets for 20 Feb please,0
four tickets for Jun 19 please,0
four tickets for 20 Oct please,0
four tickets on Thursday please,0
four tickets on Wednesday please,0
four tickets on Sunday please,0
five tickets for 08 Apr please,0
five tickets for Jul 14 please,0
five tickets for Jun 07 please,0
five tickets for Nov 07 please,0
six tickets for 02 May please,0
six tickets for Apr 06 please,0
six tickets for May 26 please,0
six tickets for May 05 please,0
six tickets for next Saturday please,0
six tickets for this Thursday please,0
six tickets for this month please,0
i want to buy a ticket,0
i want to buy one ticket,0
i want to buy tickets,0
i want to buy two tickets,0
i want to buy three tickets,0
i want to buy four tickets,0
i want to buy five tickets,0
i want to buy six tickets,0
i want to buy a ticket for Aug 24,0
i want to buy a ticket for Nov 22,0
i want to buy a ticket for Aug 30,0
i want to buy a ticket for Mar 25,0
i want to buy a ticket for this Tuesday,0
i want to buy a ticket for next Monday,0
i want to buy a ticket for this Monday,0
i want to buy a ticket for this Sunday,0
i want to buy tickets for Oct 12,0
i want to buy tickets for Sep 13,0
i want to buy tickets for Apr 11,0
i want to buy tickets for Jul 01,0
i want to buy tickets on Tuesday,0
i want to buy tickets on Sunday,0
i want to buy tickets for next Sunday,0
i want to buy tickets for next Monday,0
i want to buy a ticket for the universe room exhibition,0
i want to buy a ticket for the flooded forest exhibition,0
i want to buy a ticket for the antarctic base exhibition,0
i want to buy a ticket for the geological wall exhibition,0
i want to buy a ticket for the sustainable building exhibition,0
i want to buy one ticket for the universe room exhibition,0
i want to buy one ticket for the flooded forest exhibition,0
i want to buy one ticket for the antarctic base exhibition,0
i want to buy one ticket for the geological wall exhibition,0
i want to buy one ticket for the sustainable building exhibition,0
i want to buy tickets for the universe room exhibition,0
i want to buy tickets for the flooded forest exhibition,0
i want to buy tickets for the antarctic base exhibition,0
i want to buy tickets for the geological wall exhibition,0
i want to buy tickets for the sustainable building exhibition,0
i want to buy two tickets for the universe room exhibition,0
i want to buy two tickets for the flooded forest exhibition,0
i want to buy two tickets for the antarctic base exhibition,0
i want to buy two tickets for the geological wall exhibition,0
i want to buy two tickets for the sustainable building exhibition,0
i want to buy three tickets for the universe room exhibition,0
i want to buy three tickets for the flooded forest exhibition,0
i want to buy three tickets for the antarctic base exhibition,0
i want to buy three tickets for the geological wall exhibition,0
i want to buy three tickets for the sustainable building exhibition,0
i want to buy four tickets for the universe room exhibition,0
