phrase,class
hi,3
hello,3
hey,3
helloo,3
hellooo,3
heya,3
Can I ask you something?,3
hello hi,3
Can you help me?,3
Can you help me with something?,3
I need some help,3
howdy,3
hi there,3
hey there,3
hello there,3
lovely day isn't it,3
I greet you,3
hello again,3
long time no see,3
just going to say hi,3
g morining,3
gmorning,3
good morning,3
morning,3
good day,3
good afternoon,3
good evening,3
good night,3
greetings,3
greeting,3
its nice to meet you,3
nice to meet you,3
nice meeting you,3
nice to see you,3
its nice seeing you,3
its nice to see you,3
its good to see you,3
good to see you,3
a good day,3
a good afternoon,3
a good morning,3
a good night,3
its good seeing you,3
how are you,3
how're you,3
how are you doing,3
how ya doin',3
how ya doin,3
how is everything,3
how is everything going,3
how's everything going,3
how is you,3
how's you,3
how are things,3
how're things,3
how is it going,3
how's it going,3
how's it goin',3
how's it goin,3
how is life been treating you,3
how's life been treating you,3
how have you been,3
how've you been,3
what is up,3
what's up,3
what is cracking,3
what's cracking,3
what is good,3
what's good,3
what is happening,3
what's happening,3
what is new,3
what's new,3
what is neww,3
g’day,3
howdy,3
,3
Helloo,3
Hellooo,3
May I ask you something?,3
Can you help me with anything?,3
I need help,3
Howling,3
Hello!,3
Nice day, isn't it?,3
I salute you,3
Hello again,3
Not to be seen for a long time,3
Just to say hello,3
Good morning,3
Good evening,3
Good night,3
Regards,3
Greetings,3
It's nice to get to know you,3
Nice to meet you,3
Nice meeting with you,3
Nice to see you,3
It's nice to see you,3
s good to see you,3
Have a good afternoon,3
Have a good night,3
How are you?,3
Like ya doin '.,3
like ya doin,3
How is everything?,3
How does it all work?,3
What happens next?,3
How does life deal with you?,3
What's going on?,3
what crashes,3
What crashes,3
What's good,3
What happens?,3
What's new?,3
My name is Ranika,3
I am Ranika,3
You can call me Ranika,3
I am called Ranika,3
My name is Bray,3
I am Bray,3
You can call me Bray,3
I am called Bray,3
My name is Lakeesha,3
I am Lakeesha,3
You can call me Lakeesha,3
I am called Lakeesha,3
My name is Takecia,3
I am Takecia,3
You can call me Takecia,3
I am called Takecia,3
My name is Jelena,3
I am Jelena,3
You can call me Jelena,3
I am called Jelena,3
My name is Kinard,3
I am Kinard,3
You can call me Kinard,3
I am called Kinard,3
My name is Rollin,3
I am Rollin,3
You can call me Rollin,3
I am called Rollin,3
My name is Chessica,3
I am Chessica,3
You can call me Chessica,3
I am called Chessica,3
My name is Armel,3
I am Armel,3
You can call me Armel,3
I am called Armel,3
My name is Foster,3
I am Foster,3
You can call me Foster,3
I am called Foster,3
My name is Kailynn,3
I am Kailynn,3
You can call me Kailynn,3
I am called Kailynn,3
My name is Tatianna,3
I am Tatianna,3
You can call me Tatianna,3
I am called Tatianna,3
My name is Jacquie,3
I am Jacquie,3
You can call me Jacquie,3
I am called Jacquie,3
My name is Tighe,3
I am Tighe,3
You can call me Tighe,3
I am called Tighe,3
My name is Ramell,3
I am Ramell,3
You can call me Ramell,3
I am called Ramell,3
My name is Blaine,3
I am Blaine,3
You can call me Blaine,3
I am called Blaine,3
My name is Luther,3
I am Luther,3
You can call me Luther,3
I am called Luther,3
My name is Chaddrick,3
I am Chaddrick,3
You can call me Chaddrick,3
I am called Chaddrick,3
My name is Lani,3
I am Lani,3
You can call me Lani,3
I am called Lani,3
My name is Kailee,3
I am Kailee,3
You can call me Kailee,3
I am called Kailee,3
My name is Talya,3
I am Talya,3
You can call me Talya,3
I am called Talya,3
My name is Aerica,3
I am Aerica,3
You can call me Aerica,3
I am called Aerica,3
My name is Kita,3
I am Kita,3
You can call me Kita,3
I am called Kita,3
My name is Angellica,3
I am Angellica,3
You can call me Angellica,3
I am called Angellica,3
My name is Beronica,3
I am Beronica,3
You can call me Beronica,3
I am called Beronica,3
My name is Said,3
I am Said,3
You can call me Said,3
I am called Said,3
My name is Danthony,3
I am Danthony,3
You can call me Danthony,3
I am called Danthony,3
My name is Angeline,3
I am Angeline,3
You can call me Angeline,3
I am called Angeline,3
My name is Little,3
I am Little,3
You can call me Little,3
I am called Little,3
My name is Hamza,3
I am Hamza,3
You can call me Hamza,3
I am called Hamza,3
