phrase,class
ticket week please,0
take whole chain,3
like landscape,1
know trip fun,3
show stuff science,1
four ticket 23 feb please,0
want buy ticket 14 jun,0
oh well ' s bad person definitely,3
ticket apr 15,0
oh tr - keep trying anyway ?,3
see geological wall 21 dec,2
thing shrimp one else,3
see sustainable building next month,2
interested earthquake,1
oh tremend - well seven hour labor,3
think physic fascinating,1
good evening,4
next monday,2
see geological wall tuesday,2
would like learn flooding,1
like discus temperature,1
see antarctic base sunday,2
interesting flooding work,1
love water exhibition go,1
mild say light weight lifting nothing ' m trying make big bulging muscle,3
want buy four ticket flooded forest exhibition,0
one ticket,0
want buy six ticket universe room exhibition,0
museum open next wednesday,2
would like go geological wall exhibition nov 15,0
see antarctic base sunday,2
universe room,2
show exhibit amazon,1
well say think read recently bush administration increased funding peace corp,3
want learn earth exhibition recommend,1
see sustainable building jun 06,2
love think plant,1
museum open next thursday,2
well ' s interesting well sound though favor status quo,3
see geological wall friday,2
love think physic,1
g ’ day,4
think flooding fascinating,1
like planet,1
love space,1
museum open 02 jul,2
one ticket monday,0
would like hear ecosystem,1
' ve always got got nose tongue pressed window come walking front door,3
' s many people actually get killed,3
five ticket sep 11,0
exhibition universe room,2
three ticket week,0
interesting brazil work,1
mean guess would go flower,3
although claim florida home two son living also two son living elsewhere,3
want learn water exhibition recommend,1
know well guess awhile ' s almost ten year since moved,3
know got degree got better paying job,3
exhibit landscape finish,2
show exhibit mar,1
front treadmill,3
especially kid n ' t let watch,3
name anuja,4
worked universe room exhibition,2
look job description would s - know teaching third list importance thing,3
right absolutely right ' s good one,3
show exhibit education,1
want buy ticket next monday,0
three ticket thursday please,0
show exhibit jungle,1
ticket 06 mar,0
exhibition nature,1
good night,4
would like hear architecture,1
oh sound great well also five child,3
want learn brazil exhibition recommend,1
franchised restaurant always prefer go something seems family run,3
four ticket jul 06 please,0
well paid,3
feeling mumblex someone calling someone else killed know,3
love nature exhibition go,1
three ticket friday,0
long time see,4
show stuff space,1
would like learn space,1
see flooded forest tomorrow,2
like light,1
five ticket next tuesday please,0
someone handing something,3
' s going ' s going really good,3
think earthquake fascinating,1
love water,1
ticket universe room exhibition,0
flooding fascinates,1
name siaosi,4
called jacen,4
right ' s sharing,3
buy ticket caixa museum,0
know although would n ' t want mumblex make people go military voluntarily,3
five ticket 21 oct please,0
love think organism,1
would like two ticket please,0
love amazon,1
isaih,4
exhibit sun finish,2
would like hear education,1
visiting museum sep 07 part museum see,2
ecosystem fascinates,1
get bad situation without go phone booth stand around wait,3
show exhibit science,1
hey,4
five ticket 29 jan please,0
exhibition vulcanos,1
buy ticket,0
see geological wall jun 01,2
well work ?,3
interested matter,1
right like convicted certain crime automatically get many year ' s discretionary thing,3
exhibition south america,2
want buy ticket universe room exhibition,0
whenever something look like something else,3
photo interesting,1
think next session modified ' s still legal posse weapon florida,3
visiting museum next friday part museum see,2
four ticket antarctic base exhibition,0
four ticket flooded forest exhibition,0
seem fall short really creative lot thing mean,3
two ticket antarctic base exhibition,0
month,2
show stuff ecosystem,1
two ticket exhibition star,0
would like learn national geographic,1
ticket available exhibition erosion,0
see antarctic base thursday,2
antarctic base,2
show exhibit river,1
show exhibit brazil,1
environment passion mine exhibition caixa museum cover,1
friday,2
must say interesting,3
see flooded forest week,2
noticed parent spending time,3
love cosmos,1
discussing space one favourite thing,1
good night,4
want buy three ticket sustainable building exhibition,0
' ve got bombay turkish van himalayan persian,3
like discus biodiversity,1
,4
exhibition sun,1
name tyeshia,4
photo passion mine exhibition caixa museum cover,1
ya,4
show exhibit temperature,1
love think national geographic,1
one ticket 23 jul,0
n ' t n ' t quite pas,3
apr 02,2
see flooded forest jul 24,2
going,4
called ezequiel,4
river interesting,1
would like hear big bang,1
see geological wall wednesday,2
see sustainable building 16 mar,2
interesting temperature work,1
name andreia,4
interested education,1
rock fascinates,1
next month,2
four ticket 20 oct,0
six ticket sep 10,0
six ticket next week,0
want buy four ticket exhibition amazon,0
' s grand pull,3
need four ticket,0
nature fascinates,1
related sun,1
would prefer mean sometimes ' ve said let ' s keep interested country,3
ticket sustainable building exhibition,0
show exhibit sustainability,1
moon fascinates,1
planet fascinates,1
nice get know,4
regard,4
four ticket sep 03,0
interesting jungle work,1
think technology fascinating,1
exhibition organism,2
exhibition ecology,2
see antarctic base next month,2
two ticket friday please,0
three ticket weekend please,0
six ticket tuesday,0
architecture interesting,1
exhibit life finish,2
n ' t last two year last year set twin,3
similar experience grew farm always outdoor pet,3
happens built shopping center next,3
oh ' m midland,3
think organism fascinating,1
